date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:27	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20May%202024%2009:07:27%20GMT	https://cookcat.life/robots.txt		(from )
16:07:27	680/680	---M--	200	added ('OK')	text/html	etag:%226630642c-2a8%22	https://cookcat.life/	D:/cuanki/popeyethekiller/cookcat.life/index.html	(from )
16:07:28	983/983	---M--	200	added ('OK')	text/css	etag:%2266306344-3d7%22	https://cookcat.life/yindao/static/css/style.css	D:/cuanki/popeyethekiller/cookcat.life/yindao/static/css/style.css	(from https://cookcat.life/)
16:07:28	9011/9011	---M--	200	added ('OK')	image/png	etag:%22662ff8fa-2333%22	https://cookcat.life/logo.png	D:/cuanki/popeyethekiller/cookcat.life/logo.png	(from https://cookcat.life/)
16:07:28	22125/22125	---MCZ	200	added ('OK')	text/html	etag:W/%226638a466-566d%22	https://cookcat.life/home.html	D:/cuanki/popeyethekiller/cookcat.life/home.html	(from https://cookcat.life/)
16:07:28	12216/12216	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663063e4-2fb8%22	https://cookcat.life/yindao/static/js/script.js	D:/cuanki/popeyethekiller/cookcat.life/yindao/static/js/script.js	(from https://cookcat.life/)
16:07:29	25483/25483	---MCZ	200	added ('OK')	text/css	etag:W/%226636eb7d-638b%22	https://cookcat.life/css/animate.css	D:/cuanki/popeyethekiller/cookcat.life/css/animate.css	(from https://cookcat.life/home.html)
16:07:29	36538/36538	---MCZ	200	added ('OK')	text/css	etag:W/%226636eb7e-8eba%22	https://cookcat.life/css/magic.min.css	D:/cuanki/popeyethekiller/cookcat.life/css/magic.min.css	(from https://cookcat.life/home.html)
16:07:29	17759/17759	---MCZ	200	added ('OK')	text/css	etag:W/%226636eb80-455f%22	https://cookcat.life/css/swiper.min.css	D:/cuanki/popeyethekiller/cookcat.life/css/swiper.min.css	(from https://cookcat.life/home.html)
16:07:29	57378/57378	---MCZ	200	added ('OK')	text/css	etag:W/%226636eb7e-e022%22	https://cookcat.life/css/css.css	D:/cuanki/popeyethekiller/cookcat.life/css/css.css	(from https://cookcat.life/home.html)
16:07:29	35539/35539	---MCZ	200	added ('OK')	text/css	etag:W/%226636ed70-8ad3%22	https://cookcat.life/css/media.css	D:/cuanki/popeyethekiller/cookcat.life/css/media.css	(from https://cookcat.life/home.html)
16:07:30	4217/4217	---M--	200	added ('OK')	image/png	etag:%225e4616c0-1079%22	https://cookcat.life/images/loading.png	D:/cuanki/popeyethekiller/cookcat.life/images/loading.png	(from https://cookcat.life/home.html)
16:07:30	17184/17184	---M--	200	added ('OK')	image/png	etag:%226630574a-4320%22	https://cookcat.life/images/logo2.png	D:/cuanki/popeyethekiller/cookcat.life/images/logo2.png	(from https://cookcat.life/home.html)
16:07:31	18389/18389	---M--	200	added ('OK')	image/png	etag:%22662ff916-47d5%22	https://cookcat.life/images/pf1.png	D:/cuanki/popeyethekiller/cookcat.life/images/pf1.png	(from https://cookcat.life/home.html)
16:07:31	579370/579370	---M--	200	added ('OK')	image/jpeg	etag:%22663051fc-8d72a%22	https://cookcat.life/images/bj.jpg	D:/cuanki/popeyethekiller/cookcat.life/images/bj.jpg	(from https://cookcat.life/home.html)
16:07:32	5925/5925	---M--	200	added ('OK')	image/png	etag:%22662ff916-1725%22	https://cookcat.life/images/pf2.png	D:/cuanki/popeyethekiller/cookcat.life/images/pf2.png	(from https://cookcat.life/home.html)
16:07:32	2583099/2583099	---M--	200	added ('OK')	image/png	etag:%2266305796-276a3b%22	https://cookcat.life/images/xia.png	D:/cuanki/popeyethekiller/cookcat.life/images/xia.png	(from https://cookcat.life/home.html)
16:07:32	6924/6924	---M--	200	added ('OK')	image/png	etag:%22662ff916-1b0c%22	https://cookcat.life/images/pf3.png	D:/cuanki/popeyethekiller/cookcat.life/images/pf3.png	(from https://cookcat.life/home.html)
16:07:32	20240/20240	---M--	200	added ('OK')	image/png	etag:%22662ff916-4f10%22	https://cookcat.life/images/pf4.png	D:/cuanki/popeyethekiller/cookcat.life/images/pf4.png	(from https://cookcat.life/home.html)
16:07:33	28060/28060	---M--	200	added ('OK')	image/png	etag:%2266305ce2-6d9c%22	https://cookcat.life/images/tit.png	D:/cuanki/popeyethekiller/cookcat.life/images/tit.png	(from https://cookcat.life/home.html)
16:07:33	5883/5883	---M--	200	added ('OK')	image/png	etag:%2265f96328-16fb%22	https://cookcat.life/images/link1.png	D:/cuanki/popeyethekiller/cookcat.life/images/link1.png	(from https://cookcat.life/home.html)
16:07:33	5356/5356	---M--	200	added ('OK')	image/png	etag:%2265f9632c-14ec%22	https://cookcat.life/images/link2.png	D:/cuanki/popeyethekiller/cookcat.life/images/link2.png	(from https://cookcat.life/home.html)
16:07:34	11408/11408	---M--	200	added ('OK')	image/png	etag:%22662cff02-2c90%22	https://cookcat.life/images/guangxiao.png	D:/cuanki/popeyethekiller/cookcat.life/images/guangxiao.png	(from https://cookcat.life/home.html)
16:07:34	7330/7330	---M--	200	added ('OK')	image/gif	etag:%22662fedc8-1ca2%22	https://cookcat.life/images/onf-black-cat.gif	D:/cuanki/popeyethekiller/cookcat.life/images/onf-black-cat.gif	(from https://cookcat.life/home.html)
16:07:35	517874/517874	---M--	200	added ('OK')	image/png	etag:%2266304bc8-7e6f2%22	https://cookcat.life/images/img1.png	D:/cuanki/popeyethekiller/cookcat.life/images/img1.png	(from https://cookcat.life/home.html)
16:07:35	1783/1783	---M--	200	added ('OK')	image/png	etag:%2265f9679c-6f7%22	https://cookcat.life/images/ic1.png	D:/cuanki/popeyethekiller/cookcat.life/images/ic1.png	(from https://cookcat.life/home.html)
16:07:35	6121036/6121036	---M--	200	added ('OK')	video/mp4	etag:%2266362093-5d664c%22	https://cookcat.life/video02.mp4	D:/cuanki/popeyethekiller/cookcat.life/video02.mp4	(from https://cookcat.life/home.html)
16:07:36	1268/1268	---M--	200	added ('OK')	image/png	etag:%2265f967a0-4f4%22	https://cookcat.life/images/ic2.png	D:/cuanki/popeyethekiller/cookcat.life/images/ic2.png	(from https://cookcat.life/home.html)
16:07:36	747378/747378	---M--	200	added ('OK')	image/png	etag:%226636ee8a-b6772%22	https://cookcat.life/shipin2.png	D:/cuanki/popeyethekiller/cookcat.life/shipin2.png	(from https://cookcat.life/home.html)
16:07:36	1273/1273	---M--	200	added ('OK')	image/png	etag:%2265f967a4-4f9%22	https://cookcat.life/images/ic3.png	D:/cuanki/popeyethekiller/cookcat.life/images/ic3.png	(from https://cookcat.life/home.html)
16:07:36	2470/2470	---M--	200	added ('OK')	image/png	etag:%2265f967a8-9a6%22	https://cookcat.life/images/ic4.png	D:/cuanki/popeyethekiller/cookcat.life/images/ic4.png	(from https://cookcat.life/home.html)
16:07:36	358023/358023	---M--	200	added ('OK')	image/png	etag:%22662ff914-57687%22	https://cookcat.life/images/phone.png	D:/cuanki/popeyethekiller/cookcat.life/images/phone.png	(from https://cookcat.life/home.html)
16:07:37	427968/427968	---M--	200	added ('OK')	image/png	etag:%22662ff904-687c0%22	https://cookcat.life/images/001.png	D:/cuanki/popeyethekiller/cookcat.life/images/001.png	(from https://cookcat.life/home.html)
16:07:37	22948/22948	---M--	200	added ('OK')	image/png	etag:%2265f96fe0-59a4%22	https://cookcat.life/images/bl.png	D:/cuanki/popeyethekiller/cookcat.life/images/bl.png	(from https://cookcat.life/home.html)
16:07:37	62701/62701	---M--	200	added ('OK')	image/png	etag:%2266304e2c-f4ed%22	https://cookcat.life/images/sg.png	D:/cuanki/popeyethekiller/cookcat.life/images/sg.png	(from https://cookcat.life/home.html)
16:07:38	1814858/1814858	---M--	200	added ('OK')	video/mp4	etag:%2266304672-1bb14a%22	https://cookcat.life/video01.mp4	D:/cuanki/popeyethekiller/cookcat.life/video01.mp4	(from https://cookcat.life/home.html)
16:07:39	3636429/3636429	---M--	200	added ('OK')	image/png	etag:%22662ff00a-377ccd%22	https://cookcat.life/images/008.png	D:/cuanki/popeyethekiller/cookcat.life/images/008.png	(from https://cookcat.life/home.html)
